"","1","2","3","4","5","6","7","8","9","10","11","12"
"一紅",0.000374343333086483,0,0.000665192577134322,0,0.000215663690913309,0,0.00010623554595288,0,0,0,0.000318787078706157,0
"一絲",0.000383070910006099,0,0,0,0,0,0,0.000237326707741568,0,0,0,0
"一群",0.0002963841138115,0,0,0,0.000170750448219927,0,0,0,0,0,0,0.000235349493998588
"一聲",0.000297642873939203,0.000487385005761216,0.000380146186692397,0,0.000342951270100186,0.000138892323615688,0.000263964341163804,0.000368801710125182,0.000311027953627004,0.000377241501634388,0.000253469726570134,0.000206805407057428
"一聽",0.000115235266547651,0.000241530541594518,0.000204768289312324,0,0,8.60375723239159e-05,6.54056336667131e-05,7.13925430282365e-05,0,0,0,9.15047750839671e-05
"一股",1.86026796212002e-05,1.94954002304486e-05,3.30561901471649e-05,0,2.14344543812616e-05,1.38892323615688e-05,3.16757209396565e-05,4.61002137656477e-05,6.22055907254008e-05,4.52689801961265e-05,3.16837158212667e-05,1.47718147898163e-05
"一腳",0.00044457617071725,0,0.000658327847267939,0,0,0.000110643947776057,8.41113634452014e-05,0,0,0.000120206755619666,0,0.000235349493998588
"一腿",0.0015322836400244,0,0,0,0,0,0.000217424720390374,0,0,0,0,0
"一臉",0.0002963841138115,0,0,0,0,0,0.000168222726890403,0.000183621006243114,0,0,0,0
"一舉",0.00014819205690575,0.000155303618574313,0.000131665569453588,0,8.53752241099633e-05,0,0,0,0,0,0.00016826518593303,0.000117674746999294
"一般",0.000389796096374917,8.1700390071065e-05,0.000103897724489978,0,8.98264853867647e-05,0.000116412660249521,8.84967300307154e-05,0,6.51720529816139e-05,0.000189711075249761,0.000154908366215426,3.09525071586013e-05
"一色",0.0002963841138115,0,0,0,0,0,0.000168222726890403,0,0,0.000480827022478663,0,0
"一萬兩",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一行",0.00014819205690575,0.000155303618574313,0,0,8.53752241099633e-05,0,0.000252334090335604,0.000367242012486228,0,0,0,0.000117674746999294
"一言不發",0.000469757706200698,0,0,0,0,0,0.000133313356945173,0,0.000196353134380718,0,0.000266694009880726,0
"一變",0.00014819205690575,0,0.000131665569453588,0,8.53752241099633e-05,0,8.41113634452014e-05,0.000275431509364671,0,0,8.41325929665152e-05,0
"一起",3.72053592424004e-05,3.89908004608973e-05,1.65280950735825e-05,0,3.21516815718925e-05,1.38892323615688e-05,6.33514418793131e-05,4.61002137656477e-05,4.66541930440506e-05,1.50896600653755e-05,2.11224772141778e-05,1.47718147898163e-05
"一足",0.000383070910006099,0.0008029080604818,0,0,0,0,0,0,0,0,0,0
"一路",0.000433433980972997,0,0.000154038841532892,0,0.00014982391378498,6.47225603807431e-05,0.000246009967499855,0.000214822805993814,0,0,0.000147643235921544,0.000344176571382182
"一跳",6.15052607111505e-05,6.44568254820382e-05,0,0,7.086783902994e-05,4.59213873953135e-05,3.49093699452304e-05,7.62096032462071e-05,5.14169349949014e-05,0,3.49181809926673e-05,4.88394327228576e-05
"一踏",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一躍而起",0.000766141820012198,0,0,0,0,0,0.000217424720390374,0,0,0,0,0
"一身",5.58080388636005e-05,5.84862006913459e-05,1.65280950735825e-05,0,1.07172271906308e-05,1.38892323615688e-05,3.16757209396565e-05,4.61002137656477e-05,3.11027953627004e-05,1.50896600653755e-05,1.05612386070889e-05,2.95436295796326e-05
"一輛",0.000889152341434499,0,0,0,0.000170750448219927,0.000221287895552113,0,0,0,0,0,0
"一輛輛",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一輩子",0.000234878853100349,0,0.000208684990220034,0,0,0,0,0.000436548613860032,0,0.000190523199990522,0,0
"一遍",0.00014819205690575,0,0.000263331138907176,0,0,0,0.000336445453780806,0,0.00012388503468781,0,0.000252397778899546,0.000117674746999294
"一道",0.000187171666543242,0.000196153813609845,0,0,0.000107831845456654,0,0,0.000115959824259438,0,0.000303650536322585,0,0
"一鉤",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"一門",0.000374343333086483,0,0,0,0.000107831845456654,0,0.00010623554595288,0,0.000312942122357233,0,0.000212524719137438,0
"一閃",8.66867961945993e-05,0,7.70194207664458e-05,0,4.99413045949933e-05,6.47225603807431e-05,4.92019934999711e-05,0.000214822805993814,0,7.03164443708566e-05,0.000147643235921544,0
"一陣",7.44107184848007e-05,9.74770011522432e-05,8.26404753679123e-05,0,0.000171475635050093,6.9446161807844e-05,4.22342945862087e-05,0.000115250534414119,0.000139962579132152,1.50896600653755e-05,4.22449544283557e-05,0.000162489962687979
"一陣陣",0.0002963841138115,0,0,0,0.000170750448219927,0,0,0.000183621006243114,0,0,0,0
"一隻",1.86026796212002e-05,3.89908004608973e-05,0.00013222476058866,0.000155745511270296,0.00012860672628757,1.38892323615688e-05,6.33514418793131e-05,3.45751603242358e-05,1.55513976813502e-05,6.0358640261502e-05,0,7.38590739490814e-05
"一面",7.79592192749833e-05,0,0.00013853029931997,0,0.000112283106733456,0.000116412660249521,0.000176993460061431,4.82986422757609e-05,6.51720529816139e-05,0.000126474050166507,2.21297666022038e-05,6.19050143172026e-05
"一響",0.000345705799642954,0.000120765270797259,0.000307152433968487,0,0,0,0.000196216901000139,7.13925430282365e-05,0.000192667883712476,0,0.000130844283806756,0
"一驚",1.86026796212002e-05,9.74770011522432e-05,8.26404753679123e-05,0,0.000107172271906308,4.16676970847064e-05,4.22342945862087e-05,2.30501068828239e-05,7.7756988406751e-05,3.0179320130751e-05,8.44899088567113e-05,5.90872591592652e-05
"一點",7.79592192749833e-05,4.08501950355325e-05,6.92651496599852e-05,0,2.24566213466912e-05,5.82063301247607e-05,0.000110620912538394,7.24479634136413e-05,9.77580794724209e-05,0,6.63892998066112e-05,9.28575214758039e-05
"一點兒",0.0002963841138115,0,0.000263331138907176,0,0,0,0,0,0,0,0.000336530371866061,0
"一齊",5.58080388636005e-05,0.000136467801613141,4.95842852207474e-05,0,2.14344543812616e-05,1.38892323615688e-05,2.11171472931044e-05,1.15250534414119e-05,4.66541930440506e-05,3.0179320130751e-05,4.22449544283557e-05,1.47718147898163e-05
"七八匹",0.000383070910006099,0,0,0,0,0,0,0,0,0.000310729955610188,0,0
"七十二根",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"丈夫",0.000115235266547651,0.000241530541594518,0,0,0.00192526421764219,0,0.000327028168333565,7.13925430282365e-05,9.63339418562379e-05,0.000280421052529229,0,0
"三",0.000272857267462442,0.000204250975177663,0.000277060598639941,0.000326345416667238,0.000336849320200368,0,6.63725475230365e-05,7.24479634136413e-05,0,0.000189711075249761,0.000287686965828649,0.000340477578744614
"三下",0.0002963841138115,0,0,0,0.000170750448219927,0,0,0,0,0,0.00016826518593303,0
"三人",9.30133981060009e-05,0.000136467801613141,6.61123802943298e-05,0,0.000139323953478201,0.000208338485423532,6.33514418793131e-05,6.91503206484716e-05,4.66541930440506e-05,6.0358640261502e-05,0.000158418579106334,0.000324979925375958
"三人剛",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"三位",0.000173373592389199,0,7.70194207664458e-05,0,0,0.000194167681142229,4.92019934999711e-05,0.000107411402996907,0,7.03164443708566e-05,0.00024607205986924,0.000137670628552873
"三個",0.000130218757348401,3.89908004608973e-05,3.30561901471649e-05,0,7.50205903344157e-05,4.16676970847064e-05,6.33514418793131e-05,2.30501068828239e-05,0.000108859783769451,6.0358640261502e-05,0.000211224772141778,8.86308887388977e-05
"三刀",0.0002963841138115,0.000310607237148626,0,0,0,0,0,0,0,0.000480827022478663,0,0
"三十七八歲",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"三十萬",0.00159378890073555,0,0,0,0,0,0,0,0,0,0,0
"三十萬兩",0.0021250518676474,0,0,0,0,0,0,0,0,0,0,0
"三名",0.000345705799642954,0,0,0,0.000132776842596013,8.60375723239159e-05,0.000392433802000279,0,9.63339418562379e-05,9.34736841764097e-05,0,0.000183009550167934
"三年",0.000115235266547651,0,0.000102384144656162,0,0.000132776842596013,0,6.54056336667131e-05,7.13925430282365e-05,0.000289001825568714,0,0.00032711070951689,0
"三拳",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"三歲",0.000383070910006099,0,0,0,0,0,0,0,0,0.000310729955610188,0,0
"三百多",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"三等",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"三聲",0.000187171666543242,0.000196153813609845,0.00016629814428358,0,0,0,0.00010623554595288,0,0,0.000151825268161293,0,0
"三腳貓",0.000187171666543242,0,0.00016629814428358,0,0.000215663690913309,0,0.00010623554595288,0,0,0.000151825268161293,0,0
"三萬兩",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"三處",0.000187171666543242,0,0.00016629814428358,0,0,0.000419241338515311,0.00010623554595288,0,0,0,0.000106262359568719,0
"上",0.000706901825605607,0.000506880405991665,0.000743764278311211,0,0.000428689087625233,0.00045834466793177,0.000696865860672444,0.000564727618629185,0.000466541930440506,0.000679034702941898,0.000517500691747357,0.000605644406382468
"上來",3.89796096374917e-05,0.00016340078014213,0.000173162874149963,0,4.49132426933824e-05,0,4.42483650153577e-05,0.000265642532516685,3.2586026490807e-05,0.000126474050166507,4.42595332044075e-05,9.28575214758039e-05
"上前",0.000246021042844602,0.000386740952892229,0.000163938446061426,0,0,0,0.000104728109835691,3.81048016231035e-05,0.000154250804984704,9.97806224976184e-05,6.98363619853346e-05,0.000146518298168573
"上去",7.79592192749833e-05,4.08501950355325e-05,6.92651496599852e-05,0,2.24566213466912e-05,5.82063301247607e-05,2.21241825076788e-05,0,6.51720529816139e-05,3.16185125416269e-05,8.8519066408815e-05,3.09525071586013e-05
"上塗",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"上托",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"上書",0.000383070910006099,0,0,0,0.00022069175281492,0,0,0,0,0,0,0
"上步",0.0015322836400244,0.0004014540302409,0,0,0,0,0,0,0,0,0,0
"上繪",0.0010625259338237,0,0,0,0,0,0,0,0,0,0,0
"上繪著",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"上身",0.000187171666543242,0,0.000332596288567161,0,0,0,0.00010623554595288,0.000115959824259438,0,0,0.000106262359568719,0
"上車",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"上金漆",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"上風",0.0002963841138115,0,0.000789993416721527,0,0,0,0,0,0,0.000240413511239332,0,0
"下",0.000241834835075602,0.000350917204148076,0.000115696665515077,0,0.000150041180668831,0.000361120041400789,0.000211171472931044,0.000161350748179767,0.000155513976813502,0.000241434561046008,0.000221786010748867,0.000295436295796326
"下來",0.000111616077727201,5.84862006913459e-05,6.61123802943298e-05,0,0.000107172271906308,4.16676970847064e-05,6.33514418793131e-05,0.000126775587855531,4.66541930440506e-05,6.0358640261502e-05,2.11224772141778e-05,5.90872591592652e-05
"下去",6.15052607111505e-05,0.000257827301928153,0,0,0,4.59213873953135e-05,0.000104728109835691,0.000114314404869311,5.14169349949014e-05,0.000249451556244046,0.000104754542978002,0.000146518298168573
"下盤",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"下過",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"下面",6.15052607111505e-05,6.44568254820382e-05,0,0,0,9.18427747906271e-05,3.49093699452304e-05,3.81048016231035e-05,0.000102833869989803,9.97806224976184e-05,3.49181809926673e-05,4.88394327228576e-05
"下顎",0.000383070910006099,0,0,0,0,0,0,0,0,0,0.000434959195813757,0
"不下",0.000234878853100349,0,0,0,0.000135316528704957,0,0.000399940070835518,0,0,0.000190523199990522,0,0
"不中用",0.000374343333086483,0,0.00016629814428358,0,0.000215663690913309,0,0,0.000115959824259438,0,0,0.000212524719137438,0
"不以",0.000234878853100349,0,0,0,0,0.000350733016313599,0,0.000145516204620011,0,0,0.000133347004940363,0
"不但",0.0002963841138115,0,0,0,8.53752241099633e-05,0.00033193184332817,8.41113634452014e-05,0,0.00012388503468781,0.000240413511239332,0,0
"不住",0.000116938828912475,0.00016340078014213,0.000277060598639941,0,6.73698640400735e-05,0.000174618990374282,8.84967300307154e-05,0,0.000162930132454035,6.32370250832537e-05,4.42595332044075e-05,0.000154762535793006
"不作",0.000234878853100349,0,0,0,0.000135316528704957,0.0001753665081568,0,0.000145516204620011,0,0,0,0
"不使",0.000383070910006099,0,0,0,0,0,0,0,0,0.000310729955610188,0,0
"不依",0.000383070910006099,0,0,0,0,0,0,0,0.000320238169068528,0,0,0
"不再",3.72053592424004e-05,1.94954002304486e-05,1.65280950735825e-05,0,2.14344543812616e-05,2.77784647231376e-05,1.05585736465522e-05,2.30501068828239e-05,3.11027953627004e-05,3.0179320130751e-05,2.11224772141778e-05,2.95436295796326e-05
"不出所料",0.000383070910006099,0,0,0,0,0,0,0,0,0.000310729955610188,0,0
"不分",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"不到",7.44107184848007e-05,3.89908004608973e-05,4.95842852207474e-05,0,1.07172271906308e-05,5.55569294462752e-05,3.16757209396565e-05,3.45751603242358e-05,6.22055907254008e-05,7.54483003268775e-05,6.33674316425335e-05,5.90872591592652e-05
"不動",6.15052607111505e-05,0,5.4646148687142e-05,0,0.00010630175854491,0,3.49093699452304e-05,7.62096032462071e-05,0.000154250804984704,9.97806224976184e-05,0.000104754542978002,0.000146518298168573
"不及",3.72053592424004e-05,1.94954002304486e-05,3.30561901471649e-05,0,2.14344543812616e-05,1.38892323615688e-05,5.27928682327609e-05,9.22004275312955e-05,6.22055907254008e-05,0.000105627620457629,3.16837158212667e-05,1.47718147898163e-05
"不取",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"不可",3.89796096374917e-05,0,0.000311693173469933,0,0.000179652970773529,2.91031650623804e-05,8.84967300307154e-05,0.000120746605689402,0.000130344105963228,0.000252948100333015,0.000221297666022038,9.28575214758039e-05
"不善",0.0002963841138115,0,0.000526662277814352,0,0,0,0,0,0,0,0,0.000235349493998588
"不好",3.89796096374917e-05,8.1700390071065e-05,0.000103897724489978,0,6.73698640400735e-05,0,0.000110620912538394,4.82986422757609e-05,0.000162930132454035,6.32370250832537e-05,6.63892998066112e-05,3.09525071586013e-05
"不安",0.000234878853100349,0,0,0,0,0.0001753665081568,0.000133313356945173,0,0,0,0.000266694009880726,0
"不容",0.000234878853100349,0,0,0,0,0.000350733016313599,0.000133313356945173,0.000291032409240021,0,0,0,0
"不帶",0.000383070910006099,0,0,0,0,0,0.000217424720390374,0,0,0,0,0
"不弱",0.00014819205690575,0,0.000131665569453588,0,0,0.000110643947776057,8.41113634452014e-05,0.000275431509364671,0.000371655104063429,0,0,0
"不得",0.000116938828912475,0.000204250975177663,6.92651496599852e-05,0,4.49132426933824e-05,2.91031650623804e-05,2.21241825076788e-05,0,6.51720529816139e-05,0.000189711075249761,8.8519066408815e-05,3.09525071586013e-05
"不忿",0.000383070910006099,0,0,0,0,0,0.000217424720390374,0,0,0,0,0
"不悅",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"不懂",0.000531262966911849,0,0,0,0,0,0,0,0,0,0,0
"不成",0.000116938828912475,0,6.92651496599852e-05,0,6.73698640400735e-05,8.73094951871411e-05,2.21241825076788e-05,9.65972845515218e-05,3.2586026490807e-05,3.16185125416269e-05,4.42595332044075e-05,3.09525071586013e-05
"不成話",0.000383070910006099,0,0.000340350559673622,0,0,0,0,0,0,0,0,0
